pathotype;strain;CV1R1;CV1R2;CV1R3;CV1R4;CV2R1;CV2R2;CV2R3;CV3R4;CV3R1;CV3R2;CV3R3;CV3R4;LB_1;LB_2;LB_3;TSB_1;TSB_2;TSB_3;BHI_1;BHI_2;BHI_3;M63+_1;M63+_2;M63+_3
UPEC;5256;0,258;0,332;0,291;0,258;0,264;0,301;0,175;0,255;0,180;0,230;0,219;0,246;0,0472;0,0174;0,0211;0,0354;0,0166;0,0208;0,0495;0,0224;0,0379;0,0034;0,0292;0,0417
UPEC;5257;0,570;0,607;0,571;0,817;0,284;0,326;0,191;0,481;0,232;0,352;0,562;0,687;0,0286;0,0143;0,0221;0,0538;0,0122;0,0179;0,0242;0,0169;0,0223;0,0276;0,0137;0,0193
ETEC;5200;0,331;0,567;0,569;0,770;0,234;0,324;0,276;0,377;0,293;0,388;0,252;0,413;0,0330;0,0534;0,0089;0,0334;0,0210;0,0125;0,0442;0,0190;0,0270;0,0085;0,0091;0,0240
ETEC;5201;0,653;0,955;0,922;0,985;0,738;0,821;0,720;0,971;0,954;1,285;0,732;0,571;0,0159;0,0125;0,0062;0,0138;0,0151;0,0066;0,0258;0,0149;0,0138;0,0275;0,0879;0,0565
ETEC;5202;0,684;0,329;0,363;0,493;0,154;0,134;0,155;0,191;0,148;0,191;0,183;0,227;0,0163;0,0109;0,0085;0,0166;0,0112;0,0126;0,0554;0,0128;0,0203;0,0011;0,0108;0,0038
ETEC;5203;0,423;0,412;0,463;0,433;0,131;0,116;0,153;0,158;0,305;0,426;0,363;0,385;0,0017;0,0104;0,0129;0,0279;0,0102;0,0454;0,0716;0,0152;0,0555;-0,0016;0,0125;0,0080
ETEC;5204;0,867;0,789;0,847;0,829;0,225;0,444;0,351;0,447;0,523;0,723;0,532;0,923;0,0217;0,0258;0,0128;0,0206;0,0214;0,0145;0,0273;0,0256;0,0148;0,0538;0,0283;0,0937
ETEC;5205;0,713;0,725;0,836;0,730;0,274;0,370;0,438;0,549;0,650;0,636;0,616;0,671;0,0212;0,0331;0,0165;0,0321;0,0273;0,0213;0,0291;0,0324;0,0213;0,0328;0,0287;0,0687
ETEC;5206;0,325;0,338;0,322;0,367;0,177;0,240;0,360;0,253;0,184;0,214;0,194;0,269;0,0096;0,0134;0,0060;0,0138;0,0117;0,0076;0,0213;0,0213;0,0235;0,0082;0,0042;0,0044
ETEC;5286;0,389;0,478;0,401;0,515;0,270;0,355;0,250;0,394;0,282;0,322;0,556;0,448;0,0124;0,0125;0,0049;0,0140;0,0190;0,0076;0,0413;0,0201;0,0126;0,0051;0,0296;0,0085
ETEC;5287;0,287;0,352;0,332;0,350;0,185;0,213;0,214;0,312;0,239;0,152;0,222;0,182;0,0143;0,0209;0,0101;0,0040;0,0142;0,0087;0,0069;0,0720;0,0331;0,0009;0,0138;0,0140
ETEC;5288;0,311;0,423;0,222;0,307;0,289;0,344;0,308;0,286;0,254;0,252;0,368;0,385;0,0805;0,0344;0,0119;0,1144;0,0338;0,0227;0,1414;0,0483;0,0457;0,0472;0,0430;0,0222
ETEC;5637;0,760;0,925;0,844;0,803;0,486;0,490;0,383;0,593;0,501;0,628;0,590;0,721;0,0537;0,0177;0,0127;0,0510;0,0139;0,0245;0,0717;0,0286;0,0265;0,0611;0,0338;0,0799
ETEC;5638;0,418;0,355;0,384;0,646;0,145;0,123;0,128;0,187;0,367;0,325;0,504;0,368;0,0655;0,0118;0,0059;0,0662;0,0113;0,0078;0,1430;0,0302;0,0108;0,0182;0,0115;0,0087
ETEC;5640;0,442;0,765;0,622;0,895;1,081;1,067;0,971;0,948;0,346;0,397;0,382;0,383;0,0404;0,0204;0,0131;0,0540;0,0123;0,0152;0,0185;0,0357;0,0280;0,1073;0,0297;0,1195
ETEC;5641;0,189;0,308;0,255;0,276;0,346;0,337;0,439;0,492;0,146;0,244;0,294;0,194;0,0089;0,0274;0,0177;0,0451;0,0146;0,0145;0,2287;0,0383;0,0171;0,0034;0,0097;0,0060
ETEC;5642;0,165;0,301;0,313;0,342;0,337;0,399;0,367;0,433;0,185;0,194;0,174;0,194;0,0205;0,0148;0,0085;0,0138;0,0114;0,0064;0,0836;0,0165;0,0091;0,0255;0,0123;0,0064
ETEC;5680;1,552;1,330;1,436;1,799;1,047;1,282;1,231;1,306;0,536;0,885;0,987;0,885;0,0902;0,0177;0,0185;0,0607;0,0222;0,0171;0,0983;0,0465;0,0278;0,1902;0,0972;0,0240
ETEC;5682;0,448;0,588;0,678;0,529;0,471;0,580;0,661;0,902;0,236;0,456;0,471;0,302;0,0396;0,0231;0,0090;0,0902;0,0356;0,0168;0,1117;0,0504;0,0260;0,0158;0,0097;0,0131
ETEC;5686;0,607;0,536;0,610;0,650;0,431;0,614;0,853;0,897;0,221;0,491;0,455;0,365;0,0369;0,0332;0,0111;0,0673;0,0245;0,0172;0,0749;0,0851;0,0304;0,0148;0,0292;0,0825
ETEC;5687;0,735;0,776;0,764;0,886;1,268;1,122;1,116;0,946;0,474;0,559;0,969;0,956;0,0083;0,0423;0,0099;0,0075;0,0141;0,0072;0,0773;0,0460;0,0195;0,0036;0,0073;0,0096
ETEC;5688;0,243;0,312;0,301;0,305;0,503;0,555;0,440;0,353;0,226;0,234;0,182;0,254;0,0288;0,0209;0,0181;0,0434;0,0405;0,0286;0,0465;0,0344;0,0107;0,0055;0,0192;0,0056
ETEC;5689;0,491;0,672;0,705;0,582;0,743;0,675;0,827;0,728;0,395;0,427;0,292;0,333;0,0243;0,0197;0,0061;0,0308;0,0232;0,0150;0,0390;0,0379;0,0128;0,0076;0,0100;0,0126
ETEC;5690;0,369;0,370;0,336;0,321;0,911;0,930;0,964;0,740;0,552;0,445;0,488;0,505;0,0546;0,0397;0,0118;0,0387;0,0447;0,0153;0,0679;0,0325;0,0181;0,0037;0,0109;0,0161
ETEC;5691;0,456;0,561;0,492;0,465;0,329;0,433;0,422;0,308;0,545;0,414;0,292;0,322;0,0290;0,0261;0,0068;0,0318;0,0299;0,0090;0,0421;0,0323;0,0172;0,0567;0,0121;0,0721
ETEC;5692;0,780;0,747;0,673;1,292;1,402;1,605;1,194;1,413;1,736;1,458;0,812;0,739;0,0108;0,0165;0,0044;0,0210;0,0134;0,0069;0,0573;0,0327;0,0192;0,0024;0,0065;0,0068
EPEC;5207;0,969;0,772;0,847;0,537;0,322;0,460;0,286;0,680;0,230;0,218;0,348;0,280;0,0279;0,0247;0,0120;0,0280;0,0225;0,0424;0,1298;0,0207;0,0233;0,2368;0,2741;0,0301
EPEC;5208;0,790;0,575;0,579;0,792;0,371;0,321;0,378;0,282;0,314;0,338;0,370;0,582;0,0148;0,0123;0,0071;0,0165;0,0175;0,0094;0,0281;0,0188;0,0116;0,0000;0,3905;0,0428
EPEC;5209;0,746;0,619;0,735;0,788;0,449;0,411;0,397;0,430;0,279;0,246;0,253;0,341;0,0161;0,0138;0,0067;0,0178;0,0103;0,0094;0,0317;0,0170;0,0174;0,3355;0,4364;0,0439
EPEC;5210;0,539;0,439;0,387;0,417;0,137;0,138;0,192;0,216;0,145;0,134;0,122;0,122;0,0257;0,0178;0,0105;0,0359;0,0120;0,0075;0,0334;0,0239;0,0131;-0,0005;0,0069;0,0196
EPEC;5211;0,587;0,608;0,505;0,500;0,313;0,276;0,442;0,391;0,299;0,305;0,334;0,262;0,0384;0,0333;0,0179;0,0499;0,0195;0,0225;0,0168;0,0379;0,0148;0,0275;0,0528;0,0075
EPEC;5212;2,172;1,857;2,067;2,212;1,314;1,541;1,464;1,425;1,269;1,161;1,162;1,826;0,0802;0,0723;0,0244;0,1263;0,0916;0,0350;0,0751;0,0808;0,0332;0,1952;0,0548;0,0323
EPEC;5263;0,640;0,572;0,701;0,942;0,713;0,524;0,575;0,378;0,215;0,305;0,327;0,337;0,0207;0,0349;0,0074;0,0191;0,0269;0,0081;0,0302;0,0244;0,0124;0,0088;0,0096;0,0096
EPEC;5267;0,528;0,451;0,558;0,610;0,309;0,301;0,322;0,361;0,261;0,265;0,296;0,300;0,0178;0,0215;0,0056;0,0447;0,0306;0,0117;0,0423;0,0280;0,0152;0,0086;0,0102;0,0044
EPEC;5268;0,759;0,731;0,695;1,072;0,369;0,302;0,353;0,293;0,458;0,421;0,429;0,493;0,0238;0,0261;0,0062;0,0063;0,0156;0,0066;0,0458;0,0285;0,0132;0,0287;0,0318;0,0422
EPEC;5281;0,614;0,572;0,562;0,587;0,300;0,244;0,291;0,304;0,243;0,295;0,251;0,327;0,0175;0,0412;0,0169;0,0325;0,0320;0,0184;0,0310;0,0458;0,0203;0,0266;0,0671;0,0325
EPEC;5282;0,611;0,947;0,841;0,931;0,441;0,279;0,328;0,195;0,411;0,408;0,546;0,303;0,0400;0,0171;0,0058;0,0241;0,0191;0,0083;0,0422;0,0402;0,0252;0,0614;0,0912;0,0430
EPEC;5285;0,740;0,722;0,913;0,819;0,617;0,320;0,520;0,494;0,308;0,479;0,459;0,352;0,0239;0,0190;0,0124;0,0227;0,0246;0,0088;0,0251;0,0205;0,0159;0,0347;0,0527;0,0244
EPEC;5289;0,424;0,423;0,500;0,366;0,238;0,341;0,249;0,432;0,312;0,226;0,245;0,408;0,0049;0,0213;0,0058;0,0170;0,0274;0,0054;0,0204;0,0241;0,0103;0,0086;0,1472;0,0603
EPEC;5291;0,471;0,440;0,823;0,505;0,334;0,476;0,307;0,313;0,592;0,485;0,384;0,514;0,1068;0,0622;0,0213;0,0461;0,0198;0,0123;0,0492;0,0336;0,0125;0,0310;0,1134;0,0043
EPEC;5292;0,299;0,291;0,368;0,332;0,192;0,191;0,177;0,222;0,261;0,216;0,237;0,212;0,0095;0,0203;0,0112;0,0265;0,0152;0,0168;0,0413;0,0158;0,0114;0,0791;0,0507;0,0405
EPEC;5631;0,434;0,331;0,393;0,350;0,316;0,237;0,191;0,253;0,266;0,241;0,335;0,297;0,0045;0,0143;0,0064;0,0175;0,0157;0,0076;0,0329;0,0247;0,0101;0,0128;0,0401;0,0454
EPEC;5632;0,515;0,621;0,797;0,456;0,629;0,369;0,356;0,448;0,471;0,397;0,372;0,432;0,0365;0,0680;0,0426;0,1242;0,1461;0,0846;0,0485;0,0276;0,0084;0,0728;0,0271;0,0414
EPEC;5633;0,384;0,377;0,464;0,654;0,498;0,392;0,257;0,355;0,319;0,303;0,346;0,462;0,0060;0,0245;0,0081;0,0262;0,0257;0,0084;0,0353;0,0310;0,0101;0,0022;0,0582;0,0117
EPEC;5651;0,455;0,500;0,596;0,534;0,208;0,254;0,248;0,258;0,309;0,494;0,271;0,452;0,0046;0,0191;0,0082;0,0059;0,0183;0,0078;0,0475;0,0361;0,0143;0,0247;0,0148;0,0078
EPEC;5652;0,546;0,676;0,710;0,766;0,378;0,394;0,416;0,416;0,365;0,491;0,398;0,592;0,0227;0,0105;0,0083;0,0144;0,0158;0,0068;0,0238;0,0225;0,0097;0,0111;0,0065;0,0037
EPEC;5653;0,341;0,436;0,387;0,477;0,285;0,358;0,343;0,251;0,328;0,302;0,371;0,416;0,0215;0,0302;0,0127;0,0195;0,0119;0,0132;0,0215;0,0331;0,0162;0,0115;0,0424;0,0296
EPEC;5654;0,290;0,304;0,384;0,394;0,205;0,211;0,183;0,213;0,301;0,281;0,286;0,409;0,0144;0,0180;0,0073;0,0318;0,0314;0,0147;0,0249;0,0332;0,0143;0,0141;0,0074;0,0070
EPEC;5655;0,616;0,562;0,752;0,734;0,283;0,366;0,475;0,469;0,412;0,451;0,307;0,540;0,0145;0,0102;0,0069;0,0150;0,0134;0,0117;0,0278;0,0205;0,0077;0,0128;0,0412;0,0945
EPEC;5656;0,512;0,564;0,895;0,746;0,621;0,762;0,806;0,918;0,431;0,603;0,407;1,076;0,0083;0,0102;0,0046;0,0068;0,0111;0,0043;0,0232;0,0161;0,0072;0,0081;0,0037;0,0033
EAEC;5213;1,714;1,602;1,468;1,331;1,666;1,579;1,311;2,135;1,002;1,881;1,438;1,570;0,1140;0,0553;0,0826;0,1034;0,0582;0,0422;0,1752;0,0585;0,0427;0,0063;0,0093;0,0067
EAEC;5214;0,981;0,983;0,844;0,879;1,386;1,463;1,547;1,254;0,837;0,739;1,265;0,933;0,1279;0,0903;0,1012;0,1952;0,1323;0,0474;0,4094;0,1853;0,2879;0,0200;0,0192;0,0105
EAEC;5215;0,179;0,215;0,188;0,200;0,159;0,228;0,253;0,192;0,113;0,144;0,074;0,113;0,1044;0,0530;0,0092;0,1582;0,0360;0,0094;0,1113;0,0598;0,0197;0,0047;0,0570;0,0067
EAEC;5216;0,257;0,294;0,311;0,313;0,259;0,256;0,339;0,268;0,227;0,180;0,180;0,327;0,0628;0,0174;0,0100;0,1478;0,0215;0,0115;0,1395;0,0390;0,0230;0,0203;0,0146;0,0128
EAEC;5260;0,456;0,799;0,664;0,708;0,580;0,675;0,814;0,653;0,262;0,367;0,315;1,103;0,1333;0,1107;0,0535;0,1078;0,1498;0,0854;0,1538;0,0615;0,0175;0,0070;0,0135;0,0064
